pali_1,pos,meaning_1,pattern,sbs_class
sacchikiriyā,fem,personal experience (of); intimate experience (of); personal realization (of); lit. personally doing,ā-fem,7
upekkhā,fem,looking on; mental poise; mental balance; equanimity; equipoise; non-reactivity; composure,ā-fem,7
saddhā 1,fem,faith (in); belief (in); trust (in); lit. putting heart,ā-fem,7
bāhā 1,fem,arm; forearm,ā-fem,7
vedanā 1,fem,felt experience; feeling; sensation; second of the five aggregates,ā-fem,7
pabbajjā,fem,(vinaya) ordination; renunciation; becoming a monastic; lit. exile,ā-fem,7
sikkhā 2,fem,training; practice,ā-fem,7
senā,fem,army; military,ā-fem,7
pajā 2,fem,people; population; generation; mankind,ā-fem,7
vipassanā,fem,insight; penetrating internal vision; introspection; lit. seeing distinctly,ā-fem,7
jarā,fem,old age; ageing,ā-fem,7
nibbidā,fem,dis-enchantment (towards); de-illusionment (with); disinterest (in); dispassion (towards),ā-fem,7
upāsikā,fem,female disciple; laywomen; female devotee; lit. sitting near,ā-fem,7
paññā 1,fem,wisdom; knowledge; understanding; insight; distinctive knowledge,ā-fem,7
gāthā 1,fem,verse; poem; stanza; lit. song,ā-fem,7
vācā 1,fem,speech; words; statement; talk,ā-fem,7
devatā,fem,deity; god,ā-fem,7
vijjā 1,fem,knowledge; wisdom; understanding,ā-fem,7
saññā 1,fem,perception; conception; recognition; third of the five aggregates,ā-fem,7
jivhā,fem,tongue,ā-fem,7
avijjā,fem,ignorance; illusion; not knowing; not understanding,ā-fem,7
upasampadā 2,fem,(vinaya) higher ordination as monastic,ā-fem,7
ṭīkā,fem,sub-commentary; commentary on a commentary,ā-fem,7
desanā 3,fem,(vinaya) appointing; allocating; indicating; designating; showing; lit. pointing out,ā-fem,7
vīmaṃsā 1,fem,inquiry; judgement; investigation; discrimination,ā-fem,7
jāneyya,opt,should know; should understand; should find out,āti-pr,7
ovāda,masc,advice; instruction encouragement; exhortation,a-masc,8
asammosa,masc,not forgetting; non-confusion,a-masc,8
hitvā,abs,having left; having left behind; having abandoned,abs,8
sāyitvā,abs,having tasted,abs,8
sutvā,abs,having heard; having listened (to),abs,8
chetvā 1,abs,having cut off; having severed; (comm) having killed; lit. having cut,abs,8
ābhujitvā,abs,having bent; having folded,abs,8
gahetvā 1,abs,having taken; having grabbed hold (of); having seized,abs,8
upasaṅkamitvā,abs,having approached; having gone (to); having drawn near (to),abs,8
acchādetvā,abs,having dressed (in); having clothed oneself (in); having put on; lit. having covered,abs,8
katvāna 1,abs,having done,abs,8
karitvā 1,abs,having done,abs,8
gahetvā 5,abs,having arrested; having taken prisoner,abs,8
caritvā 1.1,abs,having walked; having wandered,abs,8
paggahetvā 2,abs,having raised up; having lifted up,abs,8
dhītar,fem,daughter,ar-fem,8
samādāya 2,ger,undertaking; taking up; accepting,ger,8
upasampajja 1,ger,reaching; attaining; arriving at,ger,8
paṇidhāya 1,ger,guiding; directing; determining; setting; lit. placing forward,ger,8
āgamma 1,ger,coming (to); arriving (at); meeting (with),ger,8
vineyya 1,ger,removing; getting rid (of),ger,8
ādāya 4,ger,adopting; assuming; according (to); lit. taking,ger,8
uṭṭhāya,ger,rising (from); emerging (from); getting up (from),ger,8
nisajja,ger,sitting down,ger,8
vivicca,ger,separating (from); aloof (from),ger,8
kuṭi 1,fem,hut; monk's dwelling,i-fem,8
saṅghāṭi 1,fem,outer robe; double robe; patchwork robe; lit. joined together,i-fem,8
diṭṭhi 1,fem,view; belief; opinion; concept; theory; attitude,i-fem,8
sugati,fem,good destination; happy fate,i-fem,8
ṭhiti 1,fem,stability; constancy; continuity; endurance; persistence; longevity; lit. standing,i-fem,8
āpatti 2,fem,(vinaya) offence; wrongdoing; transgression,i-fem,8
vimutti,fem,freedom; liberation; release; deliverance,i-fem,8
visuddhi 1.1,fem,purity (of); purification (of); holiness,i-fem,8
samāpatti 1,fem,attainment; meditation attainment,i-fem,8
passaddhi,fem,calmness; tranquillity; tranquillization; peace; stillness; serenity,i-fem,8
sati 1.2,fem,mindfulness; presence; recollection; awareness,i-fem,8
pīti 1.1,fem,delight; heart-felt joy; pleasure; feeling of love; lit. lovely feeling,i-fem,8
ruci,fem,liking; preference; choice; inclination; approval; lit. pleasure,i-fem,8
hiri,fem,sense of shame; modesty; conscience; sense of right and wrong; scruples,i-fem,8
yattha,ind,wherever; where; when; in which,ind,8
purato,ind,in front (of),ind,8
idha 2,ind,here; in this regard; in this case,ind,8
sabbattha 1,ind,everywhere; every place,ind,8
tattha 1,ind,there; in that place,ind,8
tattha 2,ind,in that regard; in that case; regarding that matter,ind,8
tatra 1,ind,there; in that place,ind,8
ettha 1,ind,here; in this place; in this case; in this regard,ind,8
yato 2,ind,since; because; due to the fact that; lit. from which,ind,8
upari 1,ind,above; overhead,ind,8
ekato 1,ind,on one side,ind,8
kuto 1,ind,from where?; where?,ind,8
mātar,fem,mother,mātar-fem,8
dhātu 1,fem,state; property; condition; element,u-fem,8
pipāsā,fem,thirst (for),ā-fem,8
pāripūrī,fem,fulfilment; completion; perfecting; maturity,ī-fem,8
anusāsanī,fem,advice; instruction; teaching,ī-fem,8
vesālī,fem,name of a city; capital of the Licchavis,ī-fem,8
bārāṇasī 1,fem,name of a city; modern Varanasi,ī-fem,8
bhikkhunī,fem,nun; fully ordained nun,ī-fem,8
sāvatthī,fem,name of a city; capital of Kosala,ī-fem,8
itthī 1,fem,woman; female,ī-fem,8
nārī,fem,woman,ī-fem,8
piṇḍāya,masc,for alms; to collect alms food,a-masc,9
atthāya 2,masc,fortunate (for); beneficial (for); useful (for); lit. for the sake,a-masc,9
saraṇa 2.1,nt,shelter; refuge; help; lit. going to,a-nt,9
bhūta 3,nt,being; living being; entity; lit. become,a-nt,9
sikkhāpada,nt,precept; instruction; training rule,a-nt,9
saṃyojana 1,nt,fetter; chain; bond; thing which binds; lit. yoking together,a-nt,9
brahmacariya 1,nt,spiritual path; spiritual practice; holy life; celibacy,a-nt,9
anagāriya,nt,homelessness; homeless state,a-nt,9
agāra 2,nt,household life; domestic living,a-nt,9
vattha 1.1,nt,cloth; clothes; robe,a-nt,9
hitāya,nt,beneficial (for); advantageous (for); lit. for the benefit,a-nt,9
puñña 1,nt,merit; good deed; spiritual wealth,a-nt,9
aparihāna,nt,not deteriorating; not decreasing; non-declining; non-regressing,a-nt,9
vepulla 1,nt,expansion; full development; maturity,a-nt,9
bhāsita 1,nt,saying; speech; statement; utterance; talk; words; lit. what was said,a-nt,9
āsana 1,nt,seat; chair; lit. sitting,a-nt,9
kula 1,nt,family; house; household; respectable family,a-nt,9
indriya 1,nt,sense; mental faculty; power; lit. belonging to Inda,a-nt,9
pāmojja,nt,joy; happiness; gladness,a-nt,9
nidāna 1,nt,source; origin; foundation; cause; reason; lit. tying down,a-nt,9
rūpa 1,nt,matter; material thing; materiality; experience of material world; physical objects of consciousness; first of the five aggregates; lit. form,a-nt,9
pamāṇa 3,nt,measure; measurement; length; size; amount; quantity; lit. measuring,a-nt,9
upādāna 2,nt,acquiring; appropriating; taking possession; grasping; clinging; identifying; lit. taking near,a-nt,9
pācittiya 1,nt,(vinaya) offence requiring confession,a-nt,9
sarīra 1,nt,body,a-nt,9
vajja 3,nt,fault (of); error (of); mistake (of); lit. to be avoided,a-nt,9
adinna 1,nt,which is not given; something not offered,a-nt,9
bhesajja,nt,medicine; remedy; tonic; drug,a-nt,9
dhana 1,nt,wealth; riches; treasure,a-nt,9
cīvara,nt,robe; cloth; robe-cloth; lit. rags,a-nt,9
tīra,nt,shore; riverbank; beach,a-nt,9
itthatta 1,nt,present state of existence; earthly existence; such an existence; lit. here state,a-nt,9
mūla 2,nt,source; origin; root,a-nt,9
nāma 5,nt,"mental objects of consciousness; mentality; mental factors of feeling, perception, intention, contact and attention; lit. name",a-nt,9
agāra 1,nt,dwelling; building; house; hut,a-nt,9
domanassa,nt,(mental) suffering; distress; dissatisfaction; dejection; depression; grief,a-nt,9
maraṇa,nt,death; dying,a-nt,9
ottappa,nt,regret; shame in wrongdoing; respect for others,a-nt,9
mūla 1,nt,(of a tree) root; base; foot,a-nt,9
sukhāya,nt,comfortable (for); lit. for the comfort,a-nt,9
sacca 2,nt,truth,a-nt,9
parinibbāna 1,nt,(of mental defilement) complete quenching; total emancipation; complete cooling,a-nt,9
nibbāna 2,nt,(of mental defilement) complete quenching; total emancipation; complete cooling; lit. blowing away,a-nt,9
bhaya 3,nt,danger (of; from); peril (of; from),a-nt,9
bhojana 2,nt,eating; taking food,a-nt,9
sīla 1,nt,ethical conduct; virtue; moral integrity,a-nt,9
rūpa 3,nt,(object of the eye) form; material form; shape; sight; lit. form,a-nt,9
hita 3,nt,welfare (of); good (of); benefit (of); blessing,a-nt,9
citta 1.1,nt,mind; heart,a-nt,9
viññāṇa 1,nt,awareness; consciousness; mind; fifth of the five aggregates; lit. knowing,a-nt,9
maṃsa 1,nt,meat; flesh,a-nt,9
pāra 1.1,nt,far side; far shore; bank on the other side; epithet of Nibbāna,a-nt,9
somanassa,nt,(mental) pleasure; happiness; joy,a-nt,9
sāsana 1,nt,message; letter; lit. teaching,a-nt,9
bhatta 1.1,nt,food; boiled rice; lit. shared,a-nt,9
sutta 2.1,nt,scripture; discourse; sacred text; lit. thread,a-nt,9
vīriya 1,nt,effort; energy; might; power; lit. virility,a-nt,9
ātappa,nt,effort; exertion; lit. to be burned,a-nt,9
bala 1,nt,strength; power; might,a-nt,9
jīvita 1,nt,life; existence,a-nt,9
ghāna,nt,nose; lit. smelling,a-nt,9
arañña,nt,forest; wood; wilds; wilderness; lit. remoteness,a-nt,9
appaka 2,nt,few things; few people; small amount,a-nt,9
jhāna 2,nt,meditation; stage of meditation; lit. meditating,a-nt,9
dassanāya 2,nt,in order to visit; for the purpose of seeing,a-nt,9
dāna 1.2,nt,alms; gift,a-nt,9
dukkaṭa 3,nt,class of vinaya offence; wrong-doing; lit. badly done,a-nt,9
passa 1.1,nt,(of the body) side; rib,a-nt,9
pārājika 3,nt,(vinaya) offence involving defeat; transgression requiring expulsion,a-nt,9
bala 2,nt,(Dhamma) power; strength,a-nt,9
dukkha 3,nt,discomfort; suffering; unease; unpleasantness; something unsatisfactory; trouble; a bummer; stress,a-nt-east,9
sukha 2,nt,ease; comfort; happiness; pleasure; contentment,a-nt-east,9
aṭṭhi 1,nt,bone,i-nt,9
api 1.7,ind,too; also; as well,ind,9
nu,ind,(adds a question mark) surely?; didn't?; wouldn't?; which?,ind,9
tāva 1,ind,that much; that far; as long as; to that extent; until; at least,ind,9
api 1.2,ind,even; even then,ind,9
alaṃ 1,ind,(it is) suitable (to); proper (to); appropriate (to); worthy (for); lit. enough,ind,9
yāva 1,ind,as long as; as far as; so much so; up to; until; from … to,ind,9
sakkā 1,ind,it is possible (to); one is able (to),ind,9
kathaṃ 1,ind,how?,ind,9
alaṃ 5,ind,that's enough (of)!; stop (with)!,ind,9
alaṃ 3,ind,enough; it is enough (for),ind,9
alaṃ 2,ind,is able (to); is possible (to); is capable (of); lit. enough,ind,9
kallaṃ,ind,it is suitable (to); it is proper (to); it is fit (for); lit. healthy,ind,9
gantuṃ,inf,to go (to); to travel (to),inf,9
kātuṃ 1,inf,to do; to perform,inf,9
upasaṅkamituṃ,inf,to approach; to visit; to go (to),inf,9
carituṃ 2,inf,to walk (in); to wander (in),inf,9
samanupassituṃ,inf,to see (as); to regard (as); to consider (as),inf,9
āyu 2,nt,life force; life energy,u-nt,9
cakkhu 1,nt,eye,u-nt,9
vatthu 2,nt,site; location; base; grounds; lit. ground,u-nt,9
